,Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
22,MDE (-),TAM/TCR (Ambiguos),0.09336212937635943,2.2205882352941178,6,34,24,302,ENSG00000161921 ENSG00000059377 ENSG00000122986 ENSG00000095970 ENSG00000168961 ENSG00000158869,CXCL16 TBXAS1 HVCN1 TREM2 LGALS9 FCER1G,0.24211720648971952
23,MDE (-),cDC1,0.17766300858135825,1.8819875776397517,5,35,23,303,ENSG00000161921 ENSG00000100364 ENSG00000103490 ENSG00000168961 ENSG00000197142,CXCL16 KIAA0930 PYCARD LGALS9 ACSL5,0.37463721374764675
24,MDE (-),cDC2,0.06134072558355103,2.2196969696969697,8,32,33,293,ENSG00000131446 ENSG00000161921 ENSG00000059377 ENSG00000100364 ENSG00000095970 ENSG00000103490 ENSG00000168961 ENSG00000158869,MGAT1 CXCL16 TBXAS1 KIAA0930 TREM2 PYCARD LGALS9 FCER1G,0.18627004150460275
25,MDE (-),pDC,0.13526877740685692,1.9542483660130718,6,34,27,299,ENSG00000132965 ENSG00000100364 ENSG00000122986 ENSG00000103490 ENSG00000158869 ENSG00000085831,ALOX5AP KIAA0930 HVCN1 PYCARD FCER1G TTC39A,0.3124064621063124
26,TMDE (+),CD45- Myofibroblast,1.685058724443825e-05,12.415254237288135,10,4,59,293,ENSG00000198680 ENSG00000138386 ENSG00000172037 ENSG00000011638 ENSG00000116016 ENSG00000119640 ENSG00000074657 ENSG00000100644 ENSG00000151364 ENSG00000136160,TUSC1 NAB1 LAMB2 LDAF1 EPAS1 ACYP1 ZNF532 HIF1A KCTD14 EDNRB,0.00034292900604733685
27,TMDE (+),CD45- PAX8+ renal epithelium,0.652777072777903,0.9315286624203821,6,8,157,195,ENSG00000198680 ENSG00000172037 ENSG00000011638 ENSG00000101871 ENSG00000182621 ENSG00000151364,TUSC1 LAMB2 LDAF1 MID1 PLCB1 KCTD14,0.9164909123114091
28,TMDE (+),CD45- Vascular Endothelium,0.011676154966257369,4.176470588235294,7,7,68,284,ENSG00000198680 ENSG00000172037 ENSG00000116016 ENSG00000101871 ENSG00000074657 ENSG00000182621 ENSG00000136160,TUSC1 LAMB2 EPAS1 MID1 ZNF532 PLCB1 EDNRB,0.05393271579652213
29,TMDE (+),CD45- ccRCC CA9+,0.209598027246715,1.7936507936507937,7,7,126,226,ENSG00000198680 ENSG00000172037 ENSG00000011638 ENSG00000101871 ENSG00000087903 ENSG00000074657 ENSG00000151364,TUSC1 LAMB2 LDAF1 MID1 RFX2 ZNF532 KCTD14,0.43257465197726286
30,TMDE (+),TAM ISGhi,0.006936256509236836,4.533333333333333,8,6,80,272,ENSG00000198680 ENSG00000172037 ENSG00000116016 ENSG00000101871 ENSG00000087903 ENSG00000074657 ENSG00000182621 ENSG00000136160,TUSC1 LAMB2 EPAS1 MID1 RFX2 ZNF532 PLCB1 EDNRB,0.033640844069798656
31,TMDE (+),TAM ISGint,0.09644085883066025,2.8,4,10,44,308,ENSG00000172037 ENSG00000136160 ENSG00000101871 ENSG00000116016,LAMB2 EDNRB MID1 EPAS1,0.24211720648971952
32,TMDE (-),CD14+ Monocyte,0.0994461175943238,2.2,6,18,45,297,ENSG00000171714 ENSG00000051523 ENSG00000110057 ENSG00000008130 ENSG00000163191 ENSG00000135912,ANO5 CYBA UNC93B1 NADK S100A11 TTLL4,0.24211720648971952
33,TMDE (-),CD14+/CD16+ Monocyte,0.33919135881163875,1.4682926829268292,4,20,41,301,ENSG00000163191 ENSG00000110057 ENSG00000135912 ENSG00000008130,S100A11 UNC93B1 TTLL4 NADK,0.5576535899106604
34,TMDE (-),CD45- PAX8+ renal epithelium,0.964685955149524,0.49095022624434387,7,17,156,186,ENSG00000171714 ENSG00000114923 ENSG00000163191 ENSG00000160678 ENSG00000101294 ENSG00000074416 ENSG00000169223,ANO5 SLC4A3 S100A11 S100A1 HM13 MGLL LMAN2,0.99999105826547
35,TMDE (-),CD45- ccRCC CA9+,0.699178634134477,0.868,8,16,125,217,ENSG00000171714 ENSG00000114923 ENSG00000140464 ENSG00000160678 ENSG00000163191 ENSG00000101294 ENSG00000074416 ENSG00000169223,ANO5 SLC4A3 PML S100A1 S100A11 HM13 MGLL LMAN2,0.9164909123114091
36,TMDE (-),TAM HLAhi,0.2840676080538178,1.5368421052631578,5,19,50,292,ENSG00000051523 ENSG00000110057 ENSG00000163191 ENSG00000057252 ENSG00000108639,CYBA UNC93B1 S100A11 SOAT1 SYNGR2,0.5198973204003836
37,TMDE (-),cDC1,0.0998421470060699,2.65,4,20,24,318,ENSG00000114923 ENSG00000153310 ENSG00000148572 ENSG00000110057,SLC4A3 CYRIB NRBF2 UNC93B1,0.24211720648971952
38,TMDE (-),cDC2,0.11629489865198961,2.236842105263158,5,19,36,306,ENSG00000171714 ENSG00000110057 ENSG00000114923 ENSG00000163191 ENSG00000108639,ANO5 UNC93B1 SLC4A3 S100A11 SYNGR2,0.27513671144495105
39,TMDE (-),pDC,0.15928053578936563,2.1586206896551725,4,20,29,313,ENSG00000114923 ENSG00000008130 ENSG00000051523 ENSG00000110057,SLC4A3 NADK CYBA UNC93B1,0.34333804381263255
40,TMDS (+),CD14+ Monocyte,0.6541921207528207,0.9078014184397163,4,27,47,288,ENSG00000183648 ENSG00000151726 ENSG00000229859 ENSG00000154146,NDUFB1 ACSL1 PGA3 NRGN,0.9164909123114091
41,TMDS (+),CD14+/CD16+ Monocyte,0.32859120047774054,1.4182692307692308,5,26,40,295,ENSG00000151726 ENSG00000154146 ENSG00000197555 ENSG00000229859 ENSG00000163738,ACSL1 NRGN SIPA1L1 PGA3 MTHFD2L,0.5495404559713937
42,TMDS (+),CD45- Myofibroblast,0.36251914117253026,1.284274193548387,7,24,62,273,ENSG00000151376 ENSG00000151338 ENSG00000154146 ENSG00000124615 ENSG00000258818 ENSG00000185345 ENSG00000137821,ME3 MIPOL1 NRGN MOCS1 RNASE4 PRKN LRRC49,0.5860726115622572
43,TMDS (+),CD45- PAX8+ renal epithelium,0.687217962918205,0.8907407407407407,13,18,150,185,ENSG00000172260 ENSG00000151376 ENSG00000151338 ENSG00000177465 ENSG00000072657 ENSG00000124374 ENSG00000258818 ENSG00000185345 ENSG00000166821 ENSG00000137821 ENSG00000167315 ENSG00000172828 ENSG00000257335,NEGR1 ME3 MIPOL1 ACOT4 TRHDE PAIP2B RNASE4 PRKN PEX11A LRRC49 ACAA2 CES3 MGAM,0.9164909123114091
44,TMDS (+),CD45- Vascular Endothelium,0.8026323279555768,0.728021978021978,5,26,70,265,ENSG00000151376 ENSG00000151338 ENSG00000137509 ENSG00000185345 ENSG00000137821,ME3 MIPOL1 PRCP PRKN LRRC49,0.9614403896686122
45,TMDS (+),CD45- ccRCC CA9+,0.7517380797581767,0.8207510646535037,10,21,123,212,ENSG00000172260 ENSG00000151376 ENSG00000151338 ENSG00000124615 ENSG00000258818 ENSG00000185345 ENSG00000166821 ENSG00000137821 ENSG00000229859 ENSG00000172828,NEGR1 ME3 MIPOL1 MOCS1 RNASE4 PRKN PEX11A LRRC49 PGA3 CES3,0.9508135335689083
46,TMDS (+),TAM ISGhi,0.802094355242586,0.7404878048780488,6,25,82,253,ENSG00000151726 ENSG00000151376 ENSG00000137509 ENSG00000154146 ENSG00000124615 ENSG00000137821,ACSL1 ME3 PRCP NRGN MOCS1 LRRC49,0.9614403896686122
47,TMDS (-),CD4+ Naive,0.23716806310440885,1.8271604938271604,4,54,12,296,ENSG00000108561 ENSG00000151136 ENSG00000144120 ENSG00000131143,C1QBP BTBD11 TMEM177 COX4I1,0.46949596165566654
48,TMDS (-),CD4+ Proliferating,0.001550952421157383,4.006257822277847,11,47,17,291,ENSG00000180992 ENSG00000112208 ENSG00000172172 ENSG00000197150 ENSG00000132591 ENSG00000048544 ENSG00000110074 ENSG00000158042 ENSG00000178741 ENSG00000181991 ENSG00000182180,MRPL14 BAG2 MRPL13 ABCB8 ERAL1 MRPS10 FOXRED1 MRPL17 COX5A MRPS11 MRPS16,0.013056464122984505
49,TMDS (-),CD14+ Monocyte,0.7365843681569477,0.8235294117647058,7,51,44,264,ENSG00000159720 ENSG00000131389 ENSG00000166548 ENSG00000067836 ENSG00000151136 ENSG00000114573 ENSG00000198121,ATP6V0D1 SLC6A6 TK2 ROGDI BTBD11 ATP6V1A LPAR1,0.9508135335689083
50,TMDS (-),CD14+/CD16+ Monocyte,0.7551782417557911,0.7958579881656804,6,52,39,269,ENSG00000102393 ENSG00000159720 ENSG00000131389 ENSG00000067836 ENSG00000108179 ENSG00000148344,GLA ATP6V0D1 SLC6A6 ROGDI PPIF PTGES,0.9508135335689083
51,TMDS (-),CD45- PAX8+ renal epithelium,0.8311709556468625,0.7885714285714286,23,35,140,168,ENSG00000155097 ENSG00000125901 ENSG00000172172 ENSG00000141012 ENSG00000106077 ENSG00000185043 ENSG00000148344 ENSG00000127838 ENSG00000100053 ENSG00000064601 ENSG00000171903 ENSG00000109016 ENSG00000067836 ENSG00000002726 ENSG00000144120 ENSG00000185803 ENSG00000137731 ENSG00000122574 ENSG00000074276 ENSG00000179091 ENSG00000158042 ENSG00000178741 ENSG00000114573,ATP6V1C1 MRPS26 MRPL13 GALNS ABHD11 CIB1 PTGES PNKD CRYBB3 CTSA CYP4F11 DHRS7B ROGDI AOC1 TMEM177 SLC52A2 FXYD2 WIPF3 CDHR2 CYC1 MRPL17 COX5A ATP6V1A,0.9832144231432398
52,TMDS (-),CD45- Vascular Endothelium,0.9976929415089125,0.32075471698113206,5,53,70,238,ENSG00000131389 ENSG00000109016 ENSG00000122574 ENSG00000158042 ENSG00000108784,SLC6A6 DHRS7B WIPF3 MRPL17 NAGLU,0.99999105826547
53,TMDS (-),CD45- ccRCC CA9+,0.9984132964882252,0.4031620553359684,12,46,121,187,ENSG00000198121 ENSG00000171903 ENSG00000172172 ENSG00000141012 ENSG00000132591 ENSG00000109016 ENSG00000122574 ENSG00000158042 ENSG00000139131 ENSG00000148344 ENSG00000064601 ENSG00000144120,LPAR1 CYP4F11 MRPL13 GALNS ERAL1 DHRS7B WIPF3 MRPL17 YARS2 PTGES CTSA TMEM177,0.99999105826547
54,TMDS (-),TAM HLAhi,0.5215221112817733,1.046140195208518,9,49,46,262,ENSG00000155097 ENSG00000159720 ENSG00000149418 ENSG00000166548 ENSG00000106077 ENSG00000108784 ENSG00000064601 ENSG00000198121 ENSG00000170266,ATP6V1C1 ATP6V0D1 ST14 TK2 ABHD11 NAGLU CTSA LPAR1 GLB1,0.7550394745422688
55,TMDS (-),TAM HLAint,0.8725463994777702,0.6172839506172839,4,54,33,275,ENSG00000198121 ENSG00000149418 ENSG00000108784 ENSG00000166548,LPAR1 ST14 NAGLU TK2,0.99999105826547
56,TMDS (-),TAM ISGhi,0.9997263258342467,0.2557399408956581,5,53,83,225,ENSG00000149418 ENSG00000109016 ENSG00000108784 ENSG00000108179 ENSG00000198121,ST14 DHRS7B NAGLU PPIF LPAR1,0.99999105826547
57,TMDS (-),cDC1,0.27194433990988953,1.5,6,52,22,286,ENSG00000102393 ENSG00000112208 ENSG00000108561 ENSG00000178741 ENSG00000067836 ENSG00000108179,GLA BAG2 C1QBP COX5A ROGDI PPIF,0.515305540093905
58,TMDS (-),cDC2,0.9203577695756151,0.5425425425425425,4,54,37,271,ENSG00000102393 ENSG00000149418 ENSG00000159720 ENSG00000108179,GLA ST14 ATP6V0D1 PPIF,0.99999105826547
59,TMDS (-),pDC,0.8028522841562639,0.7126436781609196,4,54,29,279,ENSG00000197150 ENSG00000149418 ENSG00000176715 ENSG00000139180,ABCB8 ST14 ACSF3 NDUFA9,0.9614403896686122
60,TPDE (+),CD14+ Monocyte,0.40901796450541916,1.2608695652173914,5,25,46,290,ENSG00000100504 ENSG00000147202 ENSG00000176973 ENSG00000081189 ENSG00000107738,PYGL DIAPH2 FAM89B MEF2C VSIR,0.6297578183654866
61,TPDE (+),CD14+/CD16+ Monocyte,0.059196988181816894,2.3867276887871856,7,23,38,298,ENSG00000174705 ENSG00000100504 ENSG00000147202 ENSG00000148926 ENSG00000176973 ENSG00000081189 ENSG00000107738,SH3PXD2B PYGL DIAPH2 ADM FAM89B MEF2C VSIR,0.18627004150460275
62,TPDE (+),CD45- Myofibroblast,0.0873388644423036,1.9714285714285715,9,21,60,276,ENSG00000152583 ENSG00000079689 ENSG00000064989 ENSG00000128606 ENSG00000185585 ENSG00000119630 ENSG00000136960 ENSG00000081189 ENSG00000177469,SPARCL1 SCGN CALCRL LRRC17 OLFML2A PGF ENPP2 MEF2C CAVIN1,0.23532971808065137
63,TPDE (+),CD45- PAX8+ renal epithelium,0.9321091370635395,0.5980392156862745,10,20,153,183,ENSG00000087250 ENSG00000107159 ENSG00000079689 ENSG00000102144 ENSG00000119630 ENSG00000148926 ENSG00000106236 ENSG00000135245 ENSG00000177469 ENSG00000157510,MT3 CA9 SCGN PGK1 PGF ADM NPTX2 HILPDA CAVIN1 AFAP1L1,0.99999105826547
64,TPDE (+),CD45- Vascular Endothelium,5.120157076663894e-06,6.267904509283819,17,13,58,278,ENSG00000152583 ENSG00000152661 ENSG00000064989 ENSG00000128606 ENSG00000185585 ENSG00000148926 ENSG00000113555 ENSG00000249751 ENSG00000102755 ENSG00000136960 ENSG00000106236 ENSG00000176435 ENSG00000176973 ENSG00000081189 ENSG00000177469 ENSG00000164283 ENSG00000157510,SPARCL1 GJA1 CALCRL LRRC17 OLFML2A ADM PCDH12 ECSCR FLT1 ENPP2 NPTX2 CLEC14A FAM89B MEF2C CAVIN1 ESM1 AFAP1L1,0.00016555174547879922
65,TPDE (+),CD45- ccRCC CA9+,0.40093508079171913,1.184573002754821,12,18,121,215,ENSG00000087250 ENSG00000174705 ENSG00000107159 ENSG00000152661 ENSG00000128606 ENSG00000100504 ENSG00000147202 ENSG00000102144 ENSG00000148926 ENSG00000106236 ENSG00000135245 ENSG00000177469,MT3 SH3PXD2B CA9 GJA1 LRRC17 PYGL DIAPH2 PGK1 ADM NPTX2 HILPDA CAVIN1,0.6272694005934961
66,TPDE (+),TAM HLAhi,0.6902869124310002,0.8597285067873304,4,26,51,285,ENSG00000174705 ENSG00000081189 ENSG00000107738 ENSG00000100504,SH3PXD2B MEF2C VSIR PYGL,0.9164909123114091
67,TPDE (+),TAM ISGhi,2.521416832934675e-07,7.882352941176471,20,10,68,268,ENSG00000128606 ENSG00000113555 ENSG00000177469 ENSG00000164283 ENSG00000157510 ENSG00000152661 ENSG00000119630 ENSG00000102755 ENSG00000136960 ENSG00000106236 ENSG00000107738 ENSG00000174705 ENSG00000100504 ENSG00000185585 ENSG00000249751 ENSG00000176435 ENSG00000152583 ENSG00000064989 ENSG00000148926 ENSG00000081189,LRRC17 PCDH12 CAVIN1 ESM1 AFAP1L1 GJA1 PGF FLT1 ENPP2 NPTX2 VSIR SH3PXD2B PYGL OLFML2A ECSCR CLEC14A SPARCL1 CALCRL ADM MEF2C,1.2228871639733173e-05
68,TPDE (+),TAM ISGint,2.185663655566454e-09,12.866004962779156,17,13,31,305,ENSG00000152583 ENSG00000152661 ENSG00000079689 ENSG00000064989 ENSG00000128606 ENSG00000185585 ENSG00000119630 ENSG00000113555 ENSG00000249751 ENSG00000102755 ENSG00000136960 ENSG00000106236 ENSG00000176435 ENSG00000081189 ENSG00000177469 ENSG00000164283 ENSG00000157510,SPARCL1 GJA1 SCGN CALCRL LRRC17 OLFML2A PGF PCDH12 ECSCR FLT1 ENPP2 NPTX2 CLEC14A MEF2C CAVIN1 ESM1 AFAP1L1,2.1200937458994604e-07
69,TPDE (+),cDC2,0.44006731476296546,1.2432432432432432,4,26,37,299,ENSG00000174705 ENSG00000081189 ENSG00000107738 ENSG00000100504,SH3PXD2B MEF2C VSIR PYGL,0.6669770239376195
70,TPDE (-),CD14+ Monocyte,0.059013644427526504,2.255813953488372,8,24,43,291,ENSG00000106348 ENSG00000012779 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000110719 ENSG00000254087,IMPDH1 ALOX5 ITGAX HCK PLXNC1 PLA2G7 TCIRG1 LYN,0.18627004150460275
71,TPDE (-),CD14+/CD16+ Monocyte,0.029526698302973456,2.675675675675676,8,24,37,297,ENSG00000106348 ENSG00000012779 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000110719 ENSG00000254087,IMPDH1 ALOX5 ITGAX HCK PLXNC1 PLA2G7 TCIRG1 LYN,0.1230428016606508
72,TPDE (-),CD45- PAX8+ renal epithelium,0.99999105826547,0.15723270440251572,4,28,159,175,ENSG00000164294 ENSG00000096433 ENSG00000128335 ENSG00000131473,GPX8 ITPR3 APOL2 ACLY,0.99999105826547
73,TPDE (-),CD45- ccRCC CA9+,0.9790998569339308,0.4622222222222222,7,25,126,208,ENSG00000119922 ENSG00000138496 ENSG00000131473 ENSG00000164294 ENSG00000128335 ENSG00000163840 ENSG00000157601,IFIT2 PARP9 ACLY GPX8 APOL2 DTX3L MX1,0.99999105826547
74,TPDE (-),Mast,0.06144991059945658,3.2653061224489797,4,28,14,320,ENSG00000140678 ENSG00000012779 ENSG00000136040 ENSG00000136404,ITGAX ALOX5 PLXNC1 TM6SF1,0.18627004150460275
75,TPDE (-),TAM HLAhi,0.0034611929364608282,3.4523809523809526,11,21,44,290,ENSG00000136235 ENSG00000119922 ENSG00000012779 ENSG00000129667 ENSG00000136404 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000254087 ENSG00000088827,GPNMB IFIT2 ALOX5 RHBDF2 TM6SF1 ITGAX HCK PLXNC1 PLA2G7 LYN SIGLEC1,0.022382380989113354
76,TPDE (-),TAM HLAint,0.000430129252004379,5.168350168350169,10,22,27,307,ENSG00000136235 ENSG00000012779 ENSG00000129667 ENSG00000136404 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000254087 ENSG00000088827,GPNMB ALOX5 RHBDF2 TM6SF1 ITGAX HCK PLXNC1 PLA2G7 LYN SIGLEC1,0.005186104916134333
77,TPDE (-),TAM ISGhi,0.5208796722206918,1.0583333333333333,8,24,80,254,ENSG00000136235 ENSG00000082196 ENSG00000012779 ENSG00000136404 ENSG00000140678 ENSG00000101336 ENSG00000164294 ENSG00000254087,GPNMB C1QTNF3 ALOX5 TM6SF1 ITGAX HCK GPX8 LYN,0.7550394745422688
78,TPDE (-),TAM/TCR (Ambiguos),0.0003797829753078819,5.832298136645963,9,23,21,313,ENSG00000136235 ENSG00000012779 ENSG00000129667 ENSG00000136404 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000088827,GPNMB ALOX5 RHBDF2 TM6SF1 ITGAX HCK PLXNC1 PLA2G7 SIGLEC1,0.005186104916134333
79,TPDE (-),cDC2,0.0010831633127866861,4.442815249266862,10,22,31,303,ENSG00000136235 ENSG00000012779 ENSG00000129667 ENSG00000136404 ENSG00000140678 ENSG00000101336 ENSG00000136040 ENSG00000146070 ENSG00000254087 ENSG00000088827,GPNMB ALOX5 RHBDF2 TM6SF1 ITGAX HCK PLXNC1 PLA2G7 LYN SIGLEC1,0.010506684134030856
80,TPDE (-),pDC,0.32328398540752373,1.5024630541871922,4,28,29,305,ENSG00000119922 ENSG00000129667 ENSG00000254087 ENSG00000198286,IFIT2 RHBDF2 LYN CARD11,0.5495404559713937
